Batch,Company,Headquarters,Founders,Description,Sector,Website,Demo,
Fall,Abundant,"San Francisco, CA, USA","Meji Abidoye, Jesse Hu, Ke Huang",On-demand human workforce for AI agents,"Workforce Management, AI",https://abundant.ai/,https://youtu.be/o55IoVw50CQ,
Fall,Aditto,"San Francisco, CA, USA","Keller Maloney, Will Jack",Let AI manage your marketing,"Marketing, AI",https://aditto.co/,https://www.loom.com/share/e7084374372343b18af1972bde1e694b?sid=3ade079e-c091-49c8-99fa-5f19169dc27f,
Fall,Afternoon.co,"New York, NY, USA","Roman Zubenko, Benjamin Paik",AI Bookkeeping and tax platform for ecommerce & startup founders,"Fintech, Bookkeeping",https://afternoon.co/,https://youtu.be/BXTDlFGtYLo,
Fall,Alex,,Daniel Edrisian,The Cursor for Xcode,"Developer Tools, AI",https://alexcodes.app/,https://youtu.be/CEefIxm-WdA,
Fall,Andoria,"San Francisco, CA, USA","Anirudh Ramprasad, Daryl Budiman",AI customer agent that generates in-app walkthroughs on demand,"Customer Service, AI",https://andoria.ai/,,
Fall,ArchiLabs,"San Francisco, CA, USA","Brian Bakerman, William Meng",AI Copilot for Architects,"Architecture, AI",https://archilabs.ai/,https://www.loom.com/share/aaa3f2c0362d4144b15663940ab512f2?sid=df0dfcbe-8c12-4ba8-8a45-a6044af825a7,
Fall,Asha Health,"New York, NY, USA","Akkshay Khosla, Gokul Kumarresen",We help medical practices launch their own AI clinic,"Healthcare, AI",https://asha.health/,,
Fall,Astrix Health,"New York, NY, USA","Abhinav Swaminathan, Thomas Blake",Astrix builds AI purchasing agents for healthcare providers.,"Healthcare, Supply Chain, AI",https://astrix.health/,,
Fall,AutoComputer,"San Francisco, CA, USA","Madhav Singhal, Rick Sugden",Desktop RPA with AI computer use,"Automation, AI",https://autocomputer.ai/,https://youtu.be/tcFpwrvB7FE,
Fall,BeerMe,"New York, NY, USA","Gray Newfield, Noah Newfield","Fun, global Venmo built on USDC","Fintech, Blockchain",https://beerme.world/,https://youtu.be/ulsKCkjobHE,
Fall,Bifrost Orbital,"San Francisco, CA, USA","Onkar Singh, Geffen Avraham",24/7 and real-time connectivity for satellites,"Aerospace, Connectivity",https://bifrostorbital.com/,,
Fall,Bramble,"San Francisco, CA, USA","Nimesh Chakravarthi, Daniel Hsu, Deepan Mehta",The next generation Zillow,"Real Estate, AI",https://usebramble.com/,https://youtu.be/zFCG09fxJ_E,
Fall,Canvas,"San Francisco, CA, USA",Essam Sleiman,AI-Copilot for Customer Success Teams,"Customer Service, AI",https://canvas.inc/,https://www.loom.com/share/46bfe7ca3ab9464a913244acc081fcb8?sid=bb73eae6-2c27-4289-bc66-f9e41d384fb4,
Fall,Cekura,,"Blake Shao, Jialiang Zhou","Keep support, marketing, and sales materials up-to-date","Marketing, Customer Success, AI",https://cekura.io/,https://youtu.be/JJR7hz3dPaQ,
Fall,Chorrie,"New York, NY, USA","Christopher Schlaepfer, Jorrie Brettin",Eliminate medical claim denials & underbilling with AI,"Healthcare, AI",https://chorrie.com/,https://youtu.be/orI95bsgaio,
